id,date,message,from_id,chat_id,views,forwards
24567,2024-08-26T16:38:47+00:00,IAEA Director General Rafael Grossi will visit the Kursk Nuclear Power Plant NPPIn light of the increased military activity near the Kursk NPP I am closely monitoring developments The only way the IAEA can verify the situation is through independent assessment on the ground Grossi stated Given the seriousness of the situation he will personally lead the IAEA mission to the site,,1669110938,2404,3
24565,2024-08-26T15:18:06+00:00,At the legendary Burning Man festival in the Nevada desert an installation made of Ukrainian road signs signposts and barricades damaged by Russian bullets and shells has appeared Among the items is a sign that reads Caution children from a school in the Kherson region now completely destroyed by rubbleThis 32meterlong 7meterhigh 10ton installation by Ukrainian artist Oleksiy Sai challenges the wellknown ironic meme with a message of resilience despite everything were okay and continue to fight,,1669110938,4082,9
24564,2024-08-26T13:50:35+00:00,One of the targets of todays massive attack was the Kyiv hydroelectric power station  Deputy Foreign Minister of Ukraine,,1669110938,5355,8
24563,2024-08-26T12:58:13+00:00,Poland is searching for an unidentified aerial object that crossed its border during the massive Russian attack on Ukraine said General Maciej Klish the operational commander of the Polish Armed ForcesThe object entered Polish airspace at 643 am on Monday over the Ukrainian city of Chervonograd It disappeared after traveling about 25 km into Poland Due to poor atmospheric conditions and a lack of visual confirmation no action was taken to intercept it General Klish clarified that the object was not a missileneither hypersonic ballistic nor guidedbut likely an unmanned aerial vehicle now classified as an unidentified aerial objectThe military is unsure if the object remains in Poland or has left Klish is in contact with Defense Minister Wadysaw KosiniakKamysh and Chief of the General Staff Wiesaw Kukula,,1669110938,6125,11
24562,2024-08-26T11:59:11+00:00, Russia reportedly planned to attack a NATO base in Germany with drones where antiaircraft defense aircraft are stationed according to DPA citing German intelligenceThe Gelsenkirchen airfield hosts 14 Boeing E3A Airborne Warning  Control System AWACS aircraftRussian drones spotted in the area were observed moving only at night traveling up to 100 km per hour performing maneuvers turning their lights on and off and frequently changing altitudeGerman security authorities are investigating the potential launch sites for these drones which might include Russian ships in the North and Baltic seas or Kaliningrad,,1669110938,6834,32
24561,2024-08-26T10:59:16+00:00,Ukrainians during the air alert,,1669110938,7328,22
24560,2024-08-26T10:24:31+00:00,The air alert in Kyiv is lasting for more than 7 hours as for nowThe warning was issued at 0557 meaning the alarm has now been ongoing for 7 hours and 24 minutes straight,,1669110938,7560,10
24559,2024-08-26T09:57:05+00:00, The morning shelling of Ukraine was one of the largest combined strikes by the Russian FederationThe enemy launched over a hundred rockets of various types and around a hundred Shaheds President Volodymyr Zelenskyy said in a video message Like many previous Russian strikes this one was cowardly targeting critical civilian infrastructure across most of our regions from Kharkiv and Kyiv to Odesa and the western areas Sadly there have been casualties My deepest condolences to all the families and friends There are dozens of wounded and all are receiving the necessary care Zelenskyy stated,,1669110938,7828,19
24558,2024-08-26T09:41:06+00:00,The enemy launched a missile attack on OdesaDebris from the rockets damaged private homes and numerous vehiclesRescue teams are currently working to mitigate the aftermath of the Russian attackInformation on casualties is still being clarified,,1669110938,7482,11
24551,2024-08-26T09:22:10+00:00, Moldovan operator Moldelectrica reported disruptions in the power system following the morning attack by the Russian Federation on Ukrainian critical infrastructure However they do not anticipate serious issues,,1669110938,7450,5
