id,date,message,from_id,chat_id,views,forwards
36855,2024-08-26T19:54:39+00:00, Ukraine preparing to respond to Russian mass attack with weapons of domestic production defense minister saysShortly before President Volodymyr Zelensky revealed that Ukraine has developed a new missiledrone Palianytsia,,1659203053,748,4
36854,2024-08-26T18:39:41+00:00,Russia has launched largest attack on Ukraine since start of fullscale invasion Air Force reportsRussia launched 127 missiles and 109 drones while Ukraine downed 102 missiles and 99 drones according to the Air Force Russian strikes hit several civilian energy and fuel facilities including a dam in Kyiv part of the Kyiv Hydroelectric Power Plant,,1659203053,1909,10
36853,2024-08-26T18:34:24+00:00,Morning Russian mass attack kills 7 injures nearly 50Russias mass missile and drone attack on Aug 26 killed seven people and injured 47 others including four children the State Emergency Service reported after rescue operations were completedRussia launched 127 missiles and 109 drones the largest attack on Ukraine since the beginning of the fullscale invasion in 2022 Ukraines Air Force said Ukraine downed 102 missiles and 99 drones,,1659203053,1964,4
36852,2024-08-26T18:04:38+00:00,Opinion Ukraines oligarchs were once kingmakers Where are they nowUkraines oligarchs once dominant power brokers have seen their influence wane amid war reforms and shifting economic realities raising questions about the future of the countrys political landscape writes KI Insights Director Jakub Parusinski in his recent oped KI Insights subscribers can attend an online deepdive briefing on the current state of Ukraines oligarchs by registering herePhoto Yan DobronosovGlobal Images Ukraine via Getty Images,,1659203053,2164,3
36851,2024-08-26T17:17:22+00:00,IAEA chief to visit Russias Kursk Nuclear Power Plant on Aug 27The Kursk Nuclear Power Plant is located nearly 80 kilometers 49 miles from the town of Sudzha which was captured by Ukrainian forces in midAugust during Kyivs ongoing incursion into Kursk Oblast,,1659203053,2392,2
36850,2024-08-26T17:03:26+00:00,Arrest of Russianborn Telegram CEO not a political decision Macron saysThe recent arrest of Pavel Durov the Russianborn CEO of the messaging app Telegram was in no way a political decision French President Emmanuel Macron said in a statement on Aug 26Durov was arrested at Le Bourget airport on the outskirts of Paris on Aug 24 after landing in his private jet,,1659203053,2531,6
36849,2024-08-26T17:01:08+00:00,Reuters journalist injured in Kramatorsk hotel strike in serious conditionReuters camera operator Ivan LubyshKirdey is unconscious after sustaining serious injuries from Russias Aug 24 strike on a hotel in Kramatorsk his wife Mariia Semenchenko said on Aug 26The strike on the Safir Sapphire Hotel in Kramatorsk in Donetsk Oblast killed British national Ryan Evans a security adviser for Reuters and injured six others including two local female residents,,1659203053,2511,2
36848,2024-08-26T15:40:13+00:00,Opinion AI complacency is compromising Western defenseWestern defense systems are faltering as outdated strategies fail to keep pace with the rise of inexpensive AIpowered drones and advanced technologies from adversaries writes policy analyst Charles Fergusson in his latest opedRead the full oped herePhoto Sergey Bobok  AFP via Getty Images,,1659203053,2972,6
36847,2024-08-26T14:19:12+00:00,Negotiations with Ukraine have now lost their relevance Kremlin says Kremlin spokespersons statement comes amid an ongoing Ukrainian incursion in Russias Kursk Oblast which started in early August,,1659203053,3432,5
36846,2024-08-26T14:08:02+00:00,Wagner Group claims to no longer be fighting in UkraineWagner mercenaries are operating only in Belarus and Africa and are not fighting alongside the Russian army in Ukraine the Wagner Group claimed in a statement on Telegram on Aug 26The statement which was posted on a Wagneraffiliated Telegram channel claimed that there are no subordinates of the company either in Rosgvardia Russias National Guard or in the ranks of the Russian Defense Ministry or anywhere else,,1659203053,3464,5
36845,2024-08-26T13:06:01+00:00,Drone possibly flew into Polish territory during mass Russian attack on Ukraine Polish military saysAn unidentified airborne object likely a drone probably flew into Polish territory in the morning of Aug 26 amid a mass Russian attack across Ukraine Polish military officials said,,1659203053,3836,6
36844,2024-08-26T12:41:20+00:00,Official Russian missile attack killed 5 injured 30A massive Russian missile and drone attack killed at least five people and injured at least 30 across Ukraine on Aug 26 Oleksandr Khorunzhy spokesperson for the State Emergency Service said on national television,,1659203053,3886,5
36843,2024-08-26T12:21:30+00:00,Kyiv hydroelectric dam hit during massive Russian attack across Ukraine aide saysA dam in Kyiv part of the Kyiv Hydroelectric Power Plant was struck during a massive Russian attack across Ukraine on Aug 26 Timofiy Mylovanov an advisor at the Presidents Office said,,1659203053,3935,7
36842,2024-08-26T10:28:31+00:00,Explosion at oil refinery in Russian city of Omsk injures 2An explosion at a refinery owned by staterun energy giant Gazprom in the Russian city of Omsk on Aug 26 injured at least two people the companys press service reported,,1659203053,4369,5
36841,2024-08-26T10:12:37+00:00,Zelensky Russia attacked Ukraine with over 100 missiles about 100 dronesRussia attacked Ukraine with over 100 missiles and about 100 Shahed drones on the morning of Aug 26 President Volodymyr Zelensky said on Telegram,,1659203053,4625,10
36840,2024-08-26T09:47:26+00:00,These are the indicative estimates of Russias combat losses as of August 26 according to the Armed Forces of Ukraine,,1659203053,4450,7
36839,2024-08-26T08:12:07+00:00,After a decadelong battle Kyiv showcases Crimean treasures that Russia wanted to steal Following a decadelong battle a substantial part of Crimean artifacts is now on display in Kyiv until the occupied peninsula is liberated officials sayAfter a lengthy legal struggle the return of the socalled Scythian gold last year was for Ukrainians an important cultural milestone amid the ongoing decadelong war with Russia A collection of 565 artifacts or 2111 items was finally returned to Ukrainiancontrolled territoryPhoto Kaniuka RuslanGetty Images,,1659203053,4566,7
36838,2024-08-26T08:11:37+00:00,Russian missile attack kills at least 4 across UkraineA massive Russian missile and drone attack killed at least four people in Volyn Dnipropetrovsk Zaporizhzhia and Zhytomyr oblasts on Aug 26 according to local authorities,,1659203053,4355,5
36837,2024-08-26T08:01:02+00:00,Ukrainian soldiers reportedly down Russian cruise missile with truckmounted machine gun in Zakarpattia OblastUkrainian soldiers from an air defense unit in western Zakarpattia Oblast downed a Russian cruise missile with a truckmounted machine gun according to a video shared by Governor Viktor Mykyta on Aug 26,,1659203053,4348,7
36836,2024-08-26T07:15:52+00:00,Poland says jets scrambled amid massive Russian strikes across UkraineThe Operational Command of the Polish Armed Forces warned residents on Aug 26 that Polish and other allied jets were active in the southeastern part of the country amid a massive wave of Russian attacks across Ukraine,,1659203053,4597,6
36835,2024-08-26T06:40:00+00:00,Mayor 1 person killed in Lutsk as Russia launches massive missile attackA Russian missile attack killed one person in the city of Lutsk in Volyn Oblast and damaged an apartment building and an infrastructure facility on Aug 26 Lutsk Mayor Ihor Polishchuk said on Telegram,,1659203053,4643,4
36834,2024-08-26T06:28:12+00:00,Blackouts reported across Ukraine as Russia attacks energy infrastructureDTEK Ukraines largest private energy company said on Aug 26 that emergency power shutdowns were in place across Ukraine Kyiv Mayor Vitali Klitschko said there were power outages in several districts of the capital and later added there were problems with the water supply on the right bank of the city,,1659203053,4638,8
36833,2024-08-26T05:55:17+00:00,Explosions reported in cities across Ukraine as Russia launches massive missile attackExplosions were reported on Aug 26 in Kyiv Kharkiv Odesa Vinnytsia Zaporizhzhia Kremenchuk Dnipro Khmelnytskyi Kropyvnytskyi Lutsk and Kryvyi Rih,,1659203053,4783,16
36832,2024-08-26T05:37:34+00:00,Russian authorities claim Saratov Oblast attacked by drones 4 injured Drones reportedly struck Russias Saratov Oblast overnight on Aug 26 Russian authorities reported in the morning At least four civilians were injured in the attack that caused damage to buildings and led to flight restrictions in the regionThe drones reportedly targeted Saratov and Engels home to a Russian air force base There was no immediate information on damage at the base which is often used by Russia to attack Ukraine,,1659203053,4699,5
36831,2024-08-26T05:32:45+00:00,Russia launches mass missile attack explosions heard in KyivExplosions were heard in Kyiv on Aug 26 as Russia launched a mass missile attack on Ukraine,,1659203053,4750,6
36830,2024-08-26T04:25:30+00:00,Ukraine has captured over 240 Russian soldiers during its Kursk incursion WP reports Ukraine has apparently captured at least 247 Russian soldiers since its incursion into Russias Kursk Oblast began on Aug 6 according to the Washington Post WP analysis of visual evidence,,1659203053,4735,5
36829,2024-08-26T03:02:14+00:00,UPDATE Reuters safety adviser killed 6 others injured in Kramatorsk strike Ryan Evans a member of the Reuters team reporting on the war in Ukraine was killed and two other Reuters journalists were injured in a Russian missile strike on Kramatorsk that occurred late at night on Aug 24 the news agency said,,1659203053,4779,7
36828,2024-08-26T02:16:35+00:00,French authorities extend detention of Telegram CEO Pavel Durov French judicial authorities on Aug 25 extended the detention of Pavel Durov the Russianborn founder of Telegram following his arrest over alleged offenses linked to the messaging appIn a statement released on Aug 25 via X Telegram said Telegram abides by EU laws including the Digital Services Actits moderation is within industry standards and constantly improvingTelegrams CEO Pavel Durov has nothing to hide and travels regularly throughout Europe It is absurd to claim that a platform or its owner are responsible for abuse of that platform Were awaiting a prompt resolution of this situation,,1659203053,4835,5
36827,2024-08-25T23:55:31+00:00,Zelensky expresses support for India hosting Ukraines second peace summit President Volodymyr Zelensky said on Aug 25 that negotiations are ongoing with Saudi Arabia Qatar Turkey and Switzerland to organize a second peace summit In a conversation with Indian journalists Zelensky revealed that he had informed Indias Prime Minister Narendra Modi of his support for India hosting the summit,,1659203053,4674,8
36825,2024-08-25T20:42:44+00:00,3 killed 6 injured in Russian attacks on Sumy OblastRussian forces struck Sumy Oblast 229 times on Aug 25 killing three people and injuring six others the Sumy Oblast Military Administration said,,1659203053,4831,4
36824,2024-08-25T20:18:51+00:00,Ukraine war latest Kyivs new Palianytsia missiledrone pictured for first timeUkraine has released the first images of its new Palianytsia missiledrone designed to strike Russian military airfields and destroy the enemys offensive potentialOne British journalist has been killed and another six people have been injured in a Russian missile attack on Kramatorsk that occurred late at night on Aug 24 Ukraines National Police confirmedRead todays full report herePhoto Anatolii StepanovAFP via Getty Images,,1659203053,4922,4
36823,2024-08-25T20:14:33+00:00,Ukraine advances another 13 km captures 2 more settlements in Russias Kursk Oblast Zelensky saysUkrainian forces have advanced 1 to 3 kilometers in some areas of Russias Kursk Oblast capturing two more settlements in the region President Volodymyr Zelensky said in his evening address on Aug 25Zelensky who received the information from Commanderinchief Oleksandr Syrskyi did not detail which settlements were captured by Ukrainian forces but did note that fighting is ongoing to capture one additional settlement,,1659203053,4657,6
36822,2024-08-25T19:23:59+00:00,Belarus gathering significant number of troops weaponry along Ukraines border under guise of exercises Ukraine saysBelarus Armed Forces are concentrating a significant number of personnel as well as weaponry along Ukraines northern border with Belarus under the guise of exercises Ukraines Foreign Ministry warned on Aug 25 citing information gathered by the countrys intelligence sourcesMinsk is concentrating Special Operation Forces as well as weaponry including tanks artillery multiplelaunch rocket systems MLRS air defense systems and engineering equipment near the Belarussian city of Gomel a statement released by the Foreign Ministry said The city lies within about 30 kilometers of the BelarusUkraine border,,1659203053,4796,17
