id,date,message,from_id,chat_id,views,forwards
107189,2024-08-26T19:45:07+00:00,A salvo launch of Kalibr cruise missiles by Russian Navy ships from the Black Sea at targets in Ukraine this morningSlavyangrad,,1736828635,1202,1
107188,2024-08-26T19:39:20+00:00, Durovs detention in France extended until Wednesday  TF1 TV channelJoin Slavyangrad chat Your opinion mattershttpstmeU_EDAcaOHFjNzExSlavyangrad  Andrei ,,1736828635,1952,2
107187,2024-08-26T19:30:44+00:00,Ukraine expands forced evacuation zone to 30 settlements in Kievcontrolled areas of DPRThe head of the regional military administration Vadim Filashkin appointed by the Ukrainian authorities stated on his Telegram channelExpanding the forced evacuation zone Due to the worsening security situation today at a meeting of the regional commission it was decided to begin the forced evacuation of children with their parents persons replacing them or other legal representativeslolfukedSlavyangrad,,1736828635,2971,4
107185,2024-08-26T19:15:06+00:00,Footage from Odessa whose strategic and military facilities among others came under attack today Slavyangrad,,1736828635,4395,9
107184,2024-08-26T19:01:50+00:00,The Telegraph Syrsky may be fired due to failure in the Kursk regionAfter the Russian military began confidently pushing back the Ukrainian Armed Forces in the Kharkov region the position of the commanderinchief of the Ukrainian Armed Forces was seriously shaken After the senseless attack on the Kursk region where hundreds of Ukrainian militants are now dying he began to be perceived even more ambiguouslySome speculate that the attack on the Kursk region is partly an attempt by Colonel Syrsky to atone for his guilt The question of his legacy may be decided in the next few weeks the article saysIt is noted that Kiev continues to rely too heavily on Western assistance but even the promised weapons have not yet reached UkraineSlavyangrad,,1736828635,5291,11
107183,2024-08-26T18:45:06+00:00, Macrons full statement on the Durov situationI read here false information about France after the arrest of Pavel DurovFrance is most tied to freedom of expression and communication innovation and entrepreneurship It will remain soUnder the rule of law on social media as in real life freedoms are exercised within the framework established by law to protect citizens and respect their fundamental rightsThe arrest of Telegrams president on French territory occurred as part of an ongoing judicial investigation It is by no means a political decision It is up to the judges to rule on the matterSlavyangrad,,1736828635,6257,13
107182,2024-08-26T18:35:08+00:00,Dear dearSlavyangrad,,1736828635,8591,42
107181,2024-08-26T18:30:12+00:00,Ukrainian Defense Minister threatens Russia with upcoming responses for todays massive strike and announces weapons of domestic productionSlavyangrad,,1736828635,6984,7
107180,2024-08-26T18:08:47+00:00,A total evacuation of all settlements beyond Selidovo has been announced As residents themselves report the Ukrainian Armed Forces simply do not have enough soldiers in Selidovo to dig trenches 26082024Slavyangrad,,1736828635,8035,8
107179,2024-08-26T18:00:20+00:00,Preliminary results of largescale missile attack on targets in UkraineThis morning our Armed Forces carried out a massive attack on key facilities in Ukraine Strikes were carried out on flight infrastructure militaryindustrial facilities and energy systemsExplosions were recorded in almost all regions of the terrorist country The aim of the attacks was to disrupt the operation of strategically important facilities and reduce Ukraines defensive capabilitiesAt the moment there are reports of damage in several regions but information about the consequences and results of the strikes continues to arriveIn the Kiev region the Kiev hydroelectric power station  a key element in the regions energy system was seriously damaged The turbine hall was destroyed by two missiles which led to the shutdown of electricity generation at the facilityThe extent of the damage is not fully known but based on the photographs received restoration of the object will require significant effortsIn addition SS substation 750 Kievskaya located in Nalivayki was damagedIn Odessa region strikes were carried out on SS 330 Usatove Three cruise missiles caused damage to equipment including switches which caused a fireIt is important to note that during the attack by the Kh31P missile in the Primorskoye area an enemy radar station was also destroyedIn the Poltava region strikes were carried out on Ukrgazdobycha facilities in the village of Bazylovshchyna As a result of the attack a pumping station and 12 railway tanks with flammable substances caught fire the fire has not yet been extinguishedAdditional strikes hit SS 330 Kremenchugskaya  where a fire was recorded in the AT3 autotransformerIn the Dnepropetrovsk region the Dnepropetrovsk International Airport was hit by cruise missilesThere was a high level of ambulance and fire activity No further details are available at this timeIn the Vinnytsa region two strikes were carried out on SS 750 Vinnytsa located in the village of GumennoyeLvov region was subjected to serious attacks SS 750 Zakhidnoukrainskaya in the settlement of Zhyrovaya suffered from several strikes which caused a group of transformers to catch fire In addition more than eight missiles hit the Stryi gas storage facility and the Dashavskoye gas field Several wells are known to have caught fireIn Khmelnytskyi region missile strikes damaged SS 330 Khmelnytskaya where a fire also occurred According to preliminary data one transformer was destroyed In Zhytomyr region strikes were recorded on SS 330 Zhytomyrska but the exact extent of the damage has not yet been determined In Volyn region SS 330 Severnaya was also hit a fire was recordedSlavyangrad,,1736828635,7935,12
