id,date,message,from_id,chat_id,views,forwards
65615,2024-08-26T14:12:27+00:00,A new batch of Ukrainian Armed Forces prisoners taken in the Kursk region All of them are handpicked like Raphael from the Teenage Mutant Ninja Turtles with a red armband,,1310984791,38728,94
65614,2024-08-26T14:11:24+00:00,The Polish military wanted to shoot down a drone that violated the countrys airspace in the morning but did not see itThe drone was detected by radar and crossed the border from Ukraine in the Chervonograd areaThe Polish command said that it sent fighter jets and helicopters there but did not shoot down the drone based solely on radar data,,1310984791,35824,24
65613,2024-08-26T13:52:19+00:00,Footage of the arrival of the Geranium in Lutsk about whose fate the local resident who was filming worried until the very end,,1310984791,36795,61
65612,2024-08-26T13:51:45+00:00,Approximate route of the morning strikes with cruise and ballistic missiles as well as kamikaze drones on targets in several regions of Ukraine,,1310984791,37791,127
65611,2024-08-26T12:58:29+00:00,It is reported that hangars with equipment containing F16 fighters were hit in IvanoFrankivskThe information requires confirmation,,1310984791,40623,155
65610,2024-08-26T12:52:47+00:00, Kyiv hydroelectric power station seriously damaged by explosionsIt is noted that the roadway of the hydroelectric power station dam and the stations machine room were damaged,,1310984791,41341,89
65609,2024-08-26T12:49:40+00:00,Video of the arrival at the Kyiv hydroelectric power station,,1310984791,39898,59
65608,2024-08-26T06:57:39+00:00,Ukrainian strike map,,1310984791,57091,293
65607,2024-08-26T06:50:22+00:00,Kiev Odessa Nikolaev Zaporozhye Zhitomir  no electricity at all,,1310984791,54729,127
65606,2024-08-26T06:49:53+00:00,Explosions in Rivne local publics report,,1310984791,52655,24
65605,2024-08-26T06:28:29+00:00,There is almost no air defense work in Ukraine It worked once in the Vinnytsia region several times in Kyiv and thats itApparently all air defense forces have been pulled to the border of the Kursk region,,1310984791,54595,177
65604,2024-08-26T06:24:44+00:00,Repeated arrivals in Vinnytsia,,1310984791,52297,21
65603,2024-08-26T06:24:21+00:00,Rivne Burshtyn and Ternopil region New explosions thunder,,1310984791,51780,28
65602,2024-08-26T06:21:25+00:00,Zhitomirvodokanal reported that water supply in the city has been stoppedThe reason was a power outage after the shelling,,1310984791,51288,30
65601,2024-08-26T06:20:29+00:00,Explosions in Burshtyn IvanoFrankivsk region,,1310984791,50833,26
65600,2024-08-26T06:20:18+00:00,Kiev residents wait out the missile attack in the metro,,1310984791,51406,106
